Store,Dept,ModelName,wmae_score,ModelType,Version
34,81,Models/XGBoost/XGB_34_81V1.pkl,333.846,XGB,1
34,82,Models/RandomForest/RF_34_82V1.pkl,1488.5934,RF,1
34,82,Models/XGBoost/XGB_34_82V1.pkl,1043.8102,XGB,1
34,83,Models/RandomForest/RF_34_83V1.pkl,209.0989,RF,1
34,83,Models/XGBoost/XGB_34_83V1.pkl,10.8462,XGB,1
34,85,Models/RandomForest/RF_34_85V1.pkl,200.4048,RF,1
34,85,Models/XGBoost/XGB_34_85V1.pkl,226.5694,XGB,1
34,87,Models/RandomForest/RF_34_87V1.pkl,497.0839,RF,1
34,87,Models/XGBoost/XGB_34_87V1.pkl,485.8253,XGB,1
34,90,Models/RandomForest/RF_34_90V1.pkl,1438.3533,RF,1
34,90,Models/XGBoost/XGB_34_90V1.pkl,230.6206,XGB,1
34,91,Models/RandomForest/RF_34_91V1.pkl,684.8835,RF,1
34,91,Models/XGBoost/XGB_34_91V1.pkl,4436.068,XGB,1
34,93,Models/RandomForest/RF_34_93V1.pkl,1401.8658,RF,1
34,93,Models/XGBoost/XGB_34_93V1.pkl,60.49,XGB,1
34,94,Models/RandomForest/RF_34_94V1.pkl,1181.2673,RF,1
34,94,Models/XGBoost/XGB_34_94V1.pkl,411.55400000000003,XGB,1
34,95,Models/RandomForest/RF_34_95V1.pkl,2145.4297,RF,1
34,95,Models/XGBoost/XGB_34_95V1.pkl,465.3283,XGB,1
34,96,Models/RandomForest/RF_34_96V1.pkl,819.7784,RF,1
34,96,Models/XGBoost/XGB_34_96V1.pkl,152.1152,XGB,1
34,97,Models/RandomForest/RF_34_97V1.pkl,433.7109,RF,1
34,97,Models/XGBoost/XGB_34_97V1.pkl,190.4903,XGB,1
34,98,Models/RandomForest/RF_34_98V1.pkl,409.5723,RF,1
34,98,Models/XGBoost/XGB_34_98V1.pkl,328.3045,XGB,1
7,98,Models/RandomForest/RF_7_98V1.pkl,72.1868,RF,1
7,98,Models/XGBoost/XGB_7_98V1.pkl,61.0872,XGB,1
7,97,Models/RandomForest/RF_7_97V1.pkl,283.1741,RF,1
7,97,Models/XGBoost/XGB_7_97V1.pkl,477.6035,XGB,1
34,92,Models/RandomForest/RF_34_92V1.pkl,2340.5084,RF,1
34,92,Models/XGBoost/XGB_34_92V1.pkl,797.8582,XGB,1
34,74,Models/RandomForest/RF_34_74V1.pkl,553.2354,RF,1
34,74,Models/XGBoost/XGB_34_74V1.pkl,229.2045,XGB,1
34,72,Models/RandomForest/RF_34_72V1.pkl,5109.9616,RF,1
34,72,Models/XGBoost/XGB_34_72V1.pkl,1566.0971,XGB,1
34,71,Models/RandomForest/RF_34_71V1.pkl,279.055,RF,1
34,71,Models/XGBoost/XGB_34_71V1.pkl,351.8046,XGB,1
34,37,Models/RandomForest/RF_34_37V1.pkl,161.4775,RF,1
34,37,Models/XGBoost/XGB_34_37V1.pkl,159.8954,XGB,1
34,38,Models/RandomForest/RF_34_38V1.pkl,1744.9567,RF,1
34,38,Models/XGBoost/XGB_34_38V1.pkl,839.7894,XGB,1
34,40,Models/RandomForest/RF_34_40V1.pkl,1213.3481,RF,1
34,40,Models/XGBoost/XGB_34_40V1.pkl,781.9147,XGB,1
34,41,Models/RandomForest/RF_34_41V1.pkl,134.1531,RF,1
34,41,Models/XGBoost/XGB_34_41V1.pkl,2.0737,XGB,1
34,42,Models/RandomForest/RF_34_42V1.pkl,197.505,RF,1
34,42,Models/XGBoost/XGB_34_42V1.pkl,127.943,XGB,1
34,44,Models/RandomForest/RF_34_44V1.pkl,354.5085,RF,1
34,44,Models/XGBoost/XGB_34_44V1.pkl,12.2125,XGB,1
34,45,Models/RandomForest/RF_34_45V1.pkl,3.4749,RF,1
34,45,Models/XGBoost/XGB_34_45V1.pkl,3.5978,XGB,1
34,46,Models/RandomForest/RF_34_46V1.pkl,564.8916,RF,1
34,46,Models/XGBoost/XGB_34_46V1.pkl,81.9746,XGB,1
34,48,Models/RandomForest/RF_34_48V1.pkl,557.2949,RF,1
34,48,Models/XGBoost/XGB_34_48V1.pkl,854.6882,XGB,1
34,49,Models/RandomForest/RF_34_49V1.pkl,401.0545,RF,1
34,49,Models/XGBoost/XGB_34_49V1.pkl,438.9918,XGB,1
34,51,Models/RandomForest/RF_34_51V1.pkl,10.4656,RF,1
34,51,Models/XGBoost/XGB_34_51V1.pkl,23.2726,XGB,1
34,52,Models/RandomForest/RF_34_52V1.pkl,88.1374,RF,1
34,52,Models/XGBoost/XGB_34_52V1.pkl,211.395,XGB,1
34,54,Models/RandomForest/RF_34_54V1.pkl,13.819,RF,1
34,54,Models/XGBoost/XGB_34_54V1.pkl,27.8928,XGB,1
34,55,Models/RandomForest/RF_34_55V1.pkl,770.5885,RF,1
